1754B,1754,Kevin and Permutation,800,13408
1754A,1754,Technical Support,800,15649
1753F,1753,Minecraft Series,3500,85
1753E,1753,N Machines,3300,167
1753D,1753,The Beach,2400,923
1753C,1753,Wish I Knew How to Sort,2000,2294
1753B,1753,Factorial Divisibility,1600,7068
1753A2,1753,Make Nonzero Sum (hard version),1500,6173
1753A1,1753,Make Nonzero Sum (easy version),1300,9043
1750H,1750,BinaryStringForces,0,12
1750G,1750,Doping,0,37
1750F,1750,Majority,0,203
1750E,1750,Bracket Cost,0,605
1750D,1750,Count GCD,0,2571
1750C,1750,Complementary XOR,0,5345
1750B,1750,Maximum Substring,0,11186
1750A,1750,Indirect Sort,0,11931
1749F,1749,Distance to the Path,2800,252
1749E,1749,Cactus Wall,2400,952
1749D,1749,Counting Arrays,1900,3432
1749C,1749,Number Game,1400,8681
1749B,1749,Death's Blessing,900,14763
1749A,1749,Cowardly Rooks,800,17600
1747E,1747,List Generation,2900,138
1747D,1747,Yet Another Problem,1900,2386
1747C,1747,Swap Game,1200,10708
1747B,1747,BAN BAN,900,13544
1747A,1747,Two Groups,800,16950
1746G,1746,Olympiad Training,3500,52
1746F,1746,Kazaee,2800,766
1746E2,1746,Joking (Hard Version),3200,180
1746E1,1746,Joking (Easy Version),2500,949
1746D,1746,Paths on the Tree,1900,3207
1746C,1746,Permutation Operations,1300,8420
1746B,1746,Rebellion,800,13388
1746A,1746,Maxmina,800,16242
1744F,1744,MEX vs MED,2000,1531
1744E2,1744,Divisible Numbers (hard version),1900,3011
1744E1,1744,Divisible Numbers (easy version),1500,6025
1744D,1744,Divisibility by 2^n,1200,11605
1744C,1744,Traffic Light,1000,14345
1744B,1744,Even-Odd Increments ,800,17171
1744A,1744,Number Replacement,800,19707
1743G,1743,Antifibonacci Cut,3000,129
1743F,1743,Intersection and Union,2300,944
1743E,1743,FTL,2400,995
1743D,1743,Problem with Random Tests,1700,5199
1743C,1743,Save the Magazines,1100,13791
1743B,1743,Permutation Value,800,18334
1743A,1743,Password,800,20369
